,Starttime,JobRuntime,Exitval,Signal,Command
0,1522294321.266,23.410999999999998,0,0,ASC_Sequoia/AMGmk
1,1522294344.679,13.338,0,0,ASC_Sequoia/CrystalMk
2,1522294358.02,4.917,0,0,ASC_Sequoia/IRSmk
3,1522294362.939,7.94,0,0,BenchmarkGame/fannkuch
4,1522294370.881,1.7919999999999998,0,0,BenchmarkGame/n-body
5,1522294372.675,1.671,0,0,BenchmarkGame/nsieve-bits
6,1522294374.35,1.2229999999999999,0,0,BenchmarkGame/partialsums
7,1522294375.576,1.8319999999999999,0,0,BenchmarkGame/puzzle
8,1522294377.41,2.997,0,0,BenchmarkGame/recursive
9,1522294380.41,1.882,0,0,BenchmarkGame/spectral-norm
10,1522294382.295,1.003,0,0,BitBench/drop3
11,1522294383.301,2.931,0,0,BitBench/five11
12,1522294386.235,0.474,0,0,BitBench/uudecode
13,1522294386.7120001,0.136,1,0,BitBench/uuencode
14,1522294386.85,45.805,0,0,CoyoteBench/almabench
15,1522294432.659,51.555,0,0,CoyoteBench/huffbench
16,1522294484.218,11.172,0,0,CoyoteBench/lpbench
17,1522294495.394,1.7009999999999998,0,0,DOE_ProxyApps_C/miniAMR
18,1522294497.1,20.195999999999998,0,0,DOE_ProxyApps_C/miniGMG
19,1522294517.3,5.092,0,0,DOE_ProxyApps_C/Pathfinder
20,1522294522.3960001,2.427,0,0,DOE_ProxyApps_C/RSBench
21,1522294524.8279998,8.187000000000001,0,0,DOE_ProxyApps_C/SimpleMOC
22,1522294533.018,5.182,0,0,DOE_ProxyApps_C/XSBench
23,1522294538.204,9.196,0,0,Dhrystone/dry
24,1522294547.404,8.96,0,0,Dhrystone/fldry
25,1522294556.369,2.344,0,0,McGill/chomp
26,1522294558.718,0.37,0,0,McGill/exptree
27,1522294559.091,0.42700000000000005,0,0,McGill/misr
28,1522294559.522,3.444,0,0,McGill/queens
29,1522294562.971,0.49,0,0,MiBench/automotive-basicmath
30,1522294563.465,0.297,0,0,MiBench/automotive-bitcount
31,1522294563.766,0.18,0,0,MiBench/automotive-susan
32,1522294563.95,0.052000000000000005,0,0,MiBench/consumer-jpeg
33,1522294564.006,0.26899999999999996,0,0,MiBench/consumer-lame
34,1522294564.28,0.092,0,0,MiBench/network-dijkstra
35,1522294564.3760002,0.14300000000000002,0,0,MiBench/network-patricia
36,1522294564.5229998,0.016,0,0,MiBench/office-stringsearch
37,1522294564.543,0.009000000000000001,0,0,MiBench/security-blowfish
38,1522294564.556,0.079,0,0,MiBench/security-rijndael
39,1522294564.64,0.061,0,0,MiBench/security-sha
40,1522294564.706,0.322,0,0,MiBench/telecomm-CRC32
41,1522294565.032,0.08800000000000001,0,0,MiBench/telecomm-FFT
42,1522294565.125,2.551,0,0,Misc/dt
43,1522294567.68,0.8190000000000001,0,0,Misc/evalloop
44,1522294568.504,6.199,0,0,Misc/fbench
45,1522294574.707,1.6880000000000002,0,0,Misc/ffbench
46,1522294576.4,9.476,0,0,Misc/flops
47,1522294585.8820002,3.088,0,0,Misc/flops-1
48,1522294588.974,2.487,0,0,Misc/flops-2
49,1522294591.466,2.53,0,0,Misc/flops-3
50,1522294594.0010002,1.348,0,0,Misc/flops-4
51,1522294595.3539999,2.432,0,0,Misc/flops-5
52,1522294597.79,2.164,0,0,Misc/flops-6
53,1522294599.958,4.751,0,0,Misc/flops-7
54,1522294604.714,2.69,0,0,Misc/flops-8
55,1522294607.408,8.638,0,0,Misc/fp-convert
56,1522294616.051,2.4730000000000003,0,0,Misc/himenobmtxpa
57,1522294618.529,41.638000000000005,0,0,Misc/lowercase
58,1522294660.1720002,1.6740000000000002,0,0,Misc/mandel
59,1522294661.851,2.055,0,0,Misc/mandel-2
60,1522294663.911,5.7989999999999995,0,0,Misc/matmul_f64_4x4
61,1522294669.714,14.809000000000001,0,0,Misc/oourafft
62,1522294684.5270002,10.039,0,0,Misc/perlin
63,1522294694.571,1.128,0,0,Misc/pi
64,1522294695.704,10.019,0,0,Misc/ReedSolomon
65,1522294705.728,0.509,0,0,Misc/revertBits
66,1522294706.242,2.6630000000000003,0,0,Misc/richards_benchmark
67,1522294708.91,17.003,0,0,Misc/salsa20
68,1522294725.917,6.952000000000001,0,0,Misc/whetstone
69,1522294732.8739998,0.506,0,0,Shootout/ackermann
70,1522294733.385,5.16,0,0,Shootout/ary3
71,1522294738.549,4.54,0,0,Shootout/fib2
72,1522294743.0939999,5.78,0,0,Shootout/hash
73,1522294748.879,3.8710000000000004,0,0,Shootout/heapsort
